Book Name,Author,ISBN 13,ISBN,Number of Pages,Average Rating,Total Number of Ratings,Publication Date,Date Started,Date Completed,Name,Series,Volume,Goodreads Url,Description,Genre,Image Url,Low Links,High Links,Publishers
The Lightning Tree,Patrick Rothfuss,,,93,4.0,2156,2014-01-01,2022-04-16,2022-04-16,The Lightning Tree,Standalone,1,https://www.goodreads.com/book/show/55262194,The Lightning Tree is a companion short story in The Kingkiller Chronicle series. It was first published on 2014 in the anthology Rogues.,"['Fantasy', 'Fiction', 'Short Stories', 'Fantasy', 'Epic Fantasy', 'Novella']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599506512l/55262194.jpg,"{'1x': [], '1.5x': [], '2x': [], '2.5x': [], '3x': [], '3.5x': [], '4x': []}",[],
"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)",Randall Munroe,9780544272996.0,0544272994,303,4.14,151303,2014-09-02,,,What If? Serious Scientific Answers to Absurd Hypothetical Questions,What If?,1,https://www.goodreads.com/book/show/21413662,"Randall Munroe left NASA in 2005 to start up his hugely popular site XKCD 'a web comic of romance, sarcasm, math and language' which offers a witty take on the world of science and geeks. It now has 600,000 to a million page hits daily. Every now and then, Munroe would get emails asking him to arbitrate a science debate. 'My friend and I were arguing about what would happen if a bullet got struck by lightning, and we agreed that you should resolve it . . . ' He liked these questions so much that he started up What If.
If your cells suddenly lost the power to divide, how long would you survive?
How dangerous is it, really, to be in a swimming pool in a thunderstorm?
If we hooked turbines to people exercising in gyms, how much power could we produce?
What if everyone only had one soulmate?
When (if ever) did the sun go down on the British empire?
How fast can you hit a speed bump while driving and live?
What would happen if the moon went away?
In pursuit of answers, Munroe runs computer simulations, pores over stacks of declassified military research memos, solves differential equations, and consults with nuclear reactor operators. His responses are masterpieces of clarity and hilarity, studded with memorable cartoons and infographics. They often predict the complete annihilation of humankind, or at least a really big explosion. Far more than a book for geeks, WHAT IF: Serious Scientific Answers to Absurd Hypothetical Questions explains the laws of science in operation in a way that every intelligent reader will enjoy and feel much the smarter for having read.","['Nonfiction', 'Science', 'Humor', 'Audiobook', 'Science', 'Physics']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451351509l/21413662._SX318_.jpg,,,Mariner Books
"Leviathan Falls (The Expanse, #9)",James S.A. Corey,9780356510392.0,0356510395,528,4.54,31066,2021-11-30,,,Leviathan Falls,The Expanse,9,https://www.goodreads.com/book/show/58783427,"The Laconian Empire has fallen, setting the thirteen hundred solar systems free from the rule of Winston Duarte. But the ancient enemy that killed the gate builders is awake, and the war against our universe has begun again.
In the dead system of Adro, Elvi Okoye leads a desperate scientific mission to understand what the gate builders were and what destroyed them, even if it means compromising herself and the half-alien children who bear the weight of her investigation. Through the wide-flung systems of humanity, Colonel Aliana Tanaka hunts for Duarte’s missing daughter. . . and the shattered emperor himself. And on the Rocinante, James Holden and his crew struggle to build a future for humanity out of the shards and ruins of all that has come before.
As nearly unimaginable forces prepare to annihilate all human life, Holden and a group of unlikely allies discover a last, desperate chance to unite all of humanity, with the promise of a vast galactic civilization free from wars, factions, lies, and secrets if they win.
But the price of victory may be worse than the cost of defeat.","['Science Fiction', 'Fiction', 'Space', 'Space Opera', 'Audiobook', 'Space']",,"{'1x': ['https://m.media-amazon.com/images/I/81bxeFvkGoL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81bxeFvkGoL._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/81bxeFvkGoL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/61u-3eSwrtL._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/81bxeFvkGoL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/61u-3eSwrtL._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/81bxeFvkGoL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/61u-3eSwrtL._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}",[],
"Tiamat's Wrath (The Expanse, #8)",James S.A. Corey,9780316332873.0,0316332879,534,4.57,47842,2019-03-26,,,Tiamat's Wrath,The Expanse,8,https://www.goodreads.com/book/show/28335698,"Thirteen hundred gates have opened to solar systems around the galaxy. But as humanity builds its interstellar empire in the alien ruins, the mysteries and threats grow deeper.
In the dead systems where gates lead to stranger things than alien planets, Elvi Okoye begins a desperate search to discover the nature of a genocide that happened before the first human beings existed, and to find weapons to fight a war against forces at the edge of the imaginable. But the price of that knowledge may be higher than she can pay.
At the heart of the empire, Teresa Duarte prepares to take on the burden of her father's godlike ambition. The sociopathic scientist Paolo Cortázar and the Mephistophelian prisoner James Holden are only two of the dangers in a palace thick with intrigue, but Teresa has a mind of her own and secrets even her father the emperor doesn't guess.
And throughout the wide human empire, the scattered crew of the Rocinante fights a brave rear-guard action against Duarte's authoritarian regime. Memory of the old order falls away, and a future under Laconia's eternal rule -- and with it, a battle that humanity can only lose - seems more and more certain. Because against the terrors that lie between worlds, courage and ambition will not be enough...","['Science Fiction', 'Fiction', 'Space', 'Space Opera', 'Audiobook', 'Space']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522779721l/28335698.jpg,"{'1x': ['https://m.media-amazon.com/images/I/81Y4vRMNeoL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81Y4vRMNeoL._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71qTM9NpoFL._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/81Y4vRMNeoL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71qTM9NpoFL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71qTM9NpoFL._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/81Y4vRMNeoL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71qTM9NpoFL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81I08IK1GbL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/81Y4vRMNeoL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71qTM9NpoFL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81I08IK1GbL._AC_UY327_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/81Y4vRMNeoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/9193i13ss-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71qTM9NpoFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71yOn1kzYkL.jpg']",Orbit Books
"Persepolis Rising (The Expanse, #7)",James S.A. Corey,9780316332828.0,0316332828,608,4.37,53386,2017-12-05,2022-06-02,,Persepolis Rising,The Expanse,7,https://www.goodreads.com/book/show/28335696,"In the thousand-sun network of humanity's expansion, new colony worlds are struggling to find their way. Every new planet lives on a knife edge between collapse and wonder, and the crew of the aging gunship Rocinante have their hands more than full keeping the fragile peace.
In the vast space between Earth and Jupiter, the inner planets and belt have formed a tentative and uncertain alliance still haunted by a history of wars and prejudices. On the lost colony world of Laconia, a hidden enemy has a new vision for all of humanity and the power to enforce it.
New technologies clash with old as the history of human conflict returns to its ancient patterns of war and subjugation. But human nature is not the only enemy, and the forces being unleashed have their own price. A price that will change the shape of humanity -- and of the Rocinante -- unexpectedly and forever...","['Science Fiction', 'Fiction', 'Space', 'Space Opera', 'Audiobook', 'Space']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481562381l/28335696._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/914MBS9foNL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/914MBS9foNL._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/914MBS9foNL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71HmMSXJU0L._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/914MBS9foNL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71HmMSXJU0L._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/914MBS9foNL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71HmMSXJU0L._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}",['https://images-na.ssl-images-amazon.com/images/I/71HmMSXJU0L.jpg'],Orbit Books
"Babylon's Ashes (The Expanse, #6)",James S.A. Corey,9780356504261.0,0356504263,538,4.24,63581,2016-12-06,2022-05-08,2022-05-30,Babylon's Ashes,The Expanse,6,https://www.goodreads.com/book/show/25877663,"The sixth book in the New York Times bestselling Expanse series.
NOW A MAJOR TV SERIES
A revolution brewing for generations has begun in fire. It will end in blood.
The Free Navy - a violent group of Belters in black-market military ships - has crippled the Earth and begun a campaign of piracy and violence among the outer planets. The colony ships heading for the thousand new worlds on the far side of the alien ring gates are easy prey, and no single navy remains strong enough to protect them.
James Holden and his crew know the strengths and weaknesses of this new force better than anyone. Outnumbered and outgunned, the embattled remnants of the old political powers call on the Rocinante for a desperate mission to reach Medina Station at the heart of the gate network.
But the new alliances are as flawed as the old, and the struggle for power has only just begun. As the chaos grows, an alien mystery deepens. Pirate fleets, mutiny and betrayal may be the least of the Rocinante's problems. And in the uncanny spaces past the ring gates, the choices of a few damaged and desperate people may determine the fate of more than just humanity.
(less)","['Science Fiction', 'Fiction', 'Space', 'Space Opera', 'Audiobook', 'Space']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442247299l/25877663._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/71LSeF83BJL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71LSeF83BJL._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/71LSeF83BJL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91JGUm1UsSL._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/71LSeF83BJL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91JGUm1UsSL._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/71LSeF83BJL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91JGUm1UsSL._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}",['https://images-na.ssl-images-amazon.com/images/I/71LSeF83BJL.jpg'],
"Cibola Burn (The Expanse, #4)",James S.A. Corey,,,581,4.2,85997,2014-06-17,2022-02-24,2022-04-17,Cibola Burn,The Expanse,4,https://www.goodreads.com/book/show/18656030,"The fourth novel in James S.A. Corey’s New York Times bestselling Expanse series
The gates have opened the way to thousands of habitable planets, and the land rush has begun. Settlers stream out from humanity's home planets in a vast, poorly controlled flood, landing on a new world. Among them, the Rocinante, haunted by the vast, posthuman network of the protomolecule as they investigate what destroyed the great intergalactic society that built the gates and the protomolecule.
But Holden and his crew must also contend with the growing tensions between the settlers and the company which owns the official claim to the planet. Both sides will stop at nothing to defend what's theirs, but soon a terrible disease strikes and only Holden - with help from the ghostly Detective Miller - can find the cure.","['Science Fiction', 'Fiction', 'Space', 'Space Opera', 'Audiobook', 'Space']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405023040l/18656030.jpg,"{'1x': ['https://m.media-amazon.com/images/I/7117BtmH5BL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/7117BtmH5BL._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/7117BtmH5BL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91xCCcouWgL._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/7117BtmH5BL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91xCCcouWgL._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/7117BtmH5BL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91xCCcouWgL._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/7117BtmH5BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81G55dGWQmL.jpg']",Orbit
"Nemesis Games (The Expanse, #5)",James S.A. Corey,,,536,4.42,77072,2015-06-02,2022-04-18,2022-05-08,Nemesis Games,The Expanse,5,https://www.goodreads.com/book/show/22886612,"The fifth novel in Corey's New York Times bestselling Expanse series--now being produced for television by the SyFy Channel!
A thousand worlds have opened, and the greatest land rush in human history has begun. As wave after wave of colonists leave, the power structures of the old solar system begin to buckle.
Ships are disappearing without a trace. Private armies are being secretly formed. The sole remaining protomolecule sample is stolen. Terrorist attacks previously considered impossible bring the inner planets to their knees. The sins of the past are returning to exact a terrible price.
And as a new human order is struggling to be born in blood and fire, James Holden and the crew of the Rocinante must struggle to survive and get back to the only home they have left.","['Science Fiction', 'Fiction', 'Space', 'Space Opera', 'Audiobook', 'Space']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654567652l/22886612._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/71jOYKGzINL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71jOYKGzINL._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/71jOYKGzINL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91qyM1NxxVL._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/71jOYKGzINL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91qyM1NxxVL._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/71jOYKGzINL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91qyM1NxxVL._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/71jOYKGzINL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/813u3BhapVL.jpg']",
"Abaddon's Gate (The Expanse, #3)",James S.A. Corey,,,539,4.26,106125,2013-06-04,2022-01-28,2022-02-24,Abaddon's Gate,The Expanse,3,https://www.goodreads.com/book/show/16131032,"Abaddon's Gate is the third book in the New York Times bestselling Expanse series.
For generations, the solar system - Mars, the Moon, the Asteroid Belt - was humanity's great frontier. Until now. The alien artefact working through its program under the clouds of Venus has emerged to build a massive structure outside the orbit of Uranus: a gate that leads into a starless dark.
Jim Holden and the crew of the Rocinante are part of a vast flotilla of scientific and military ships going out to examine the artefact. But behind the scenes, a complex plot is unfolding, with the destruction of Holden at its core. As the emissaries of the human race try to find whether the gate is an opportunity or a threat, the greatest danger is the one they brought with them.","['Science Fiction', 'Fiction', 'Space', 'Space Opera', 'Audiobook', 'Space']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407572059l/16131032.jpg,"{'1x': ['https://m.media-amazon.com/images/I/91nOkAU67IL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91nOkAU67IL._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91dEH3LMTNL._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/91nOkAU67IL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91dEH3LMTNL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91dEH3LMTNL._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/91nOkAU67IL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91dEH3LMTNL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71XBl40bfiL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/91nOkAU67IL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91dEH3LMTNL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71XBl40bfiL._AC_UY327_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}",['https://images-na.ssl-images-amazon.com/images/I/71XBl40bfiL.jpg'],Orbit
"Drive (The Expanse, #2.6)",James S.A. Corey,,,30,4.02,8764,2012-11-27,,,Drive,The Expanse,2,https://www.goodreads.com/book/show/25899877,"Read ""Drive"", a Prequel to The Expanse series.
The Expanse, premiering in December 2015 on Syfy, is based on The New York Times best selling book series by James S.A. Corey. Set two hundred years in the future, where man has colonized the outer asteroid belt, The Expanse follows the case of a missing girl that brings together a hardened detective and a rogue ship captain in a race across the solar system to expose the greatest conspiracy in human history. ""Drive"" highlights a key moment in The Expanse universe whose ramifications set the foundation for the show.
The story is a prequel taking place approximately 150 years prior to the main series, concerning Solomon Epstein and his invention of the Epstein drive.","['Science Fiction', 'Fiction', 'Short Stories', 'Space', 'Space Opera', 'Space']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436768519l/25899877._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/71tfW-GC2ML._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71tfW-GC2ML._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/71tfW-GC2ML._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71q2sdF1l8L._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/71tfW-GC2ML._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71q2sdF1l8L._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/71tfW-GC2ML._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71q2sdF1l8L._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}",[],SyFy
"Caliban's War (The Expanse, #2)",James S.A. Corey,9781841499901.0,1841499900,624,4.36,125866,2012-06-07,2022-01-23,2022-01-28,Caliban's War,The Expanse,2,https://www.goodreads.com/book/show/12591698,"We are not alone. On Ganymede, breadbasket of the outer planets, a Martian marine watches as her platoon is slaughtered by a monstrous supersoldier. On Earth, a high-level politician struggles to prevent interplanetary war from reigniting. And on Venus, an alien protomolecule has overrun the planet, wreaking massive, mysterious changes and threatening to spread out into the solar system.
In the vast wilderness of space, James Holden and the crew of the Rocinante have been keeping the peace for the Outer Planets Alliance. When they agree to help a scientist search war-torn Ganymede for a missing child, the future of humanity rests on whether a single ship can prevent an alien invasion that may have already begun . . .","['Science Fiction', 'Fiction', 'Space', 'Space Opera', 'Audiobook', 'Space']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407572377l/12591698.jpg,"{'1x': ['https://m.media-amazon.com/images/I/81t2pcbfgrL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81t2pcbfgrL._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71XBl40bfiL._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/81t2pcbfgrL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71XBl40bfiL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71XBl40bfiL._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/81t2pcbfgrL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71XBl40bfiL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/915mh7F7qKL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/81t2pcbfgrL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71XBl40bfiL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/915mh7F7qKL._AC_UY327_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/81t2pcbfgrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81bSs2e--VL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71XLEDYZfDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81xqAxr5wfL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mDwIDbxbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71XBl40bfiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/915mh7F7qKL.jpg']","Orbit/Little, Brown Book Group"
"Gods of Risk (The Expanse, #2.5)",James S.A. Corey,,,68,3.72,18037,2012-01-01,,,Gods of Risk,The Expanse,2,https://www.goodreads.com/book/show/15837317,"As tension between Mars and Earth mounts, and terrorism plagues the Martian city of Londres Nova, sixteen-year-old David Draper is fighting his own lonely war. A gifted chemist vying for a place at the university, David leads a secret life as a manufacturer for a ruthless drug dealer. When his friend Leelee goes missing, leaving signs of the dealer's involvement, David takes it upon himself to save her. But first he must shake his aunt Bobbie Draper, an ex-marine who has been set adrift in her own life after a mysterious series of events nobody is talking about. Set in the hard-scrabble solar system of Leviathan Wakes and Caliban's War, ""Gods of Risk"" deepens James S. A. Corey's acclaimed Expanse series.","['Science Fiction', 'Fiction', 'Space', 'Space Opera', 'Short Stories', 'Novella']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586602953l/15837317._SX318_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/81ZhBPQ6nOL._AC_UY218_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/81ZhBPQ6nOL._AC_UY327_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/81ZhBPQ6nOL._AC_UY436_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/81ZhBPQ6nOL._AC_UY545_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}",[],Orbit
"Book of Night (Book of Night, #1)",Holly Black,9781250812193.0,1250812194,320,3.58,14603,2022-05-03,,,Book of Night,Book of Night,1,https://www.goodreads.com/book/show/58293924,"In Charlie Hall’s world, shadows can be altered, for entertainment and cosmetic preferences—but also to increase power and influence. You can alter someone’s feelings—and memories—but manipulating shadows has a cost, with the potential to take hours or days from your life. Your shadow holds all the parts of you that you want to keep hidden—a second self, standing just to your left, walking behind you into lit rooms. And sometimes, it has a life of its own.
Charlie is a low-level con artist, working as a bartender while trying to distance herself from the powerful and dangerous underground world of shadow trading. She gets by doing odd jobs for her patrons and the naive new money in her town at the edge of the Berkshires. But when a terrible figure from her past returns, Charlie’s present life is thrown into chaos, and her future seems at best, unclear—and at worst, non-existent. Determined to survive, Charlie throws herself into a maelstrom of secrets and murder, setting her against a cast of doppelgängers, mercurial billionaires, shadow thieves, and her own sister—all desperate to control the magic of the shadows.
Holly Black makes her adult debut with Book of Night, a modern dark fantasy of shadowy thieves and secret societies.","['Fantasy', 'Adult', 'Fantasy', 'Urban Fantasy', 'Fiction', 'Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639163872l/58293924.jpg,"{'1x': ['https://m.media-amazon.com/images/I/91OOVL-IMzL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91OOVL-IMzL._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/91OOVL-IMzL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91Twd1kxszL._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/91OOVL-IMzL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91Twd1kxszL._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/91OOVL-IMzL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91Twd1kxszL._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/91OOVL-IMzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81ekbncx6pL.jpg']",Tor Books
Deep Learning with Python,Francois Chollet,9781617294433.0,1617294438,350,4.6,1004,2017-11-30,2021-12-17,,Deep Learning with Python,Standalone,1,https://www.goodreads.com/book/show/33986067,"Deep learning is applicable to a widening range of artificial intelligence problems, such as image classification, speech recognition, text classification, question answering, text-to-speech, and optical character recognition. It is the technology behind photo tagging systems at Facebook and Google, self-driving cars, speech recognition systems on your smartphone, and much more.
In particular, Deep learning excels at solving machine perception problems: understanding the content of image data, video data, or sound data. Here's a simple example: say you have a large collection of images, and that you want tags associated with each image, for example, ""dog,"" ""cat,"" etc. Deep learning can allow you to create a system that understands how to map such tags to images, learning only from examples. This system can then be applied to new images, automating the task of photo tagging. A deep learning model only has to be fed examples of a task to start generating useful results on new data.","['Computer Science', 'Programming', 'Science', 'Computer Science', 'Artificial Intelligence', 'Science', 'Technology']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1513265126l/33986067._SX318_.jpg,"{'1x': [], '1.5x': [], '2x': [], '2.5x': [], '3x': [], '3.5x': [], '4x': []}",[],
